City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,23.44,91,75,7.2,US,1701073648
1,port-aux-francais,-49.35,70.2167,4.35,78,95,7.92,TF,1701073648
2,arraial do cabo,-22.9661,-42.0278,19.98,88,20,2.57,BR,1701073504
3,salahonda,2.1019,-78.7217,25.97,85,73,1.16,CO,1701073648
4,aasiaat,68.7098,-52.8699,-5.52,96,100,4.39,GL,1701073467
5,zaozersk,69.4005,32.4476,-15.86,86,36,1.47,RU,1701073649
6,mocimboa,-11.3167,40.35,31.93,55,11,3.56,MZ,1701073649
7,cockburn town,21.4612,-71.1419,26.8,75,72,7.39,TC,1701073649
8,okha,53.5739,142.9478,-12.63,90,99,11.32,RU,1701073468
9,rawson,-43.3002,-65.1023,12.34,61,87,7.16,AR,1701073650
10,hawaiian paradise park,19.5933,-154.9731,22.73,93,100,2.57,US,1701073650
11,rongelap,11.1635,166.8941,27.76,80,61,10.18,MH,1701073468
12,kununurra,-15.7667,128.7333,34.99,46,40,7.2,AU,1701073564
13,siwa oasis,29.2041,25.5195,17.76,40,0,3.57,EG,1701073651
14,bonny,4.4522,7.1681,25.58,85,100,2.94,NG,1701073651
15,grand falls-windsor,48.9332,-55.6649,-0.28,78,8,2.02,CA,1701073469
16,umm kaddadah,13.6017,26.6876,31.36,15,45,9.75,SD,1701073469
17,bilibino,68.0546,166.4372,-13.13,98,43,2.33,RU,1701073651
18,altai,46.3722,96.2583,-4.55,62,0,2.66,MN,1701073652
19,masterton,-40.9597,175.6575,11.09,87,100,1.82,NZ,1701073652
20,vadso,70.0744,29.7487,-5.91,79,40,2.57,NO,1701073652
21,harstad,68.799,16.5293,-1.58,88,30,5.81,NO,1701073471
22,ceres,37.5949,-120.9577,6.14,100,0,1.54,US,1701073448
23,tadine,-21.55,167.8833,22.18,74,3,4.76,NC,1701073471
24,san patricio,28.017,-97.5169,11.58,44,100,4.27,US,1701073471
25,iqaluit,63.7506,-68.5145,-6.15,79,75,5.66,CA,1701073653
26,namtsy,62.7161,129.6658,-28.22,97,100,1.43,RU,1701073653
27,ushuaia,-54.8,-68.3,3.81,75,0,2.57,AR,1701073653
28,howrah,22.5892,88.3103,29.0,48,40,2.06,IN,1701073654
29,avarua,-21.2078,-159.775,24.03,78,100,7.2,CK,1701073472
